327 stars read from HYG database file hygxyz.csv
..Sol -> Proxima Centauri, distance = 1.29, cumulative = 1.29
..Proxima Centauri -> Rigel Kentaurus B, distance = 0.07, cumulative = 1.37
..Rigel Kentaurus B -> Rigel Kentaurus A, distance = 0.00, cumulative = 1.37
..Rigel Kentaurus A -> Barnard's Star, distance = 1.98, cumulative = 3.35
..Barnard's Star -> Gliese Gl 729, distance = 1.70, cumulative = 5.05
..Gliese Gl 729 -> Lacaille 8760, distance = 2.26, cumulative = 7.31
..Lacaille 8760 -> Gliese Gl 832, distance = 1.28, cumulative = 8.59
..Gliese Gl 832 -> Eps Ind, distance = 1.47, cumulative = 10.06
..Eps Ind -> Lacaille 9352, distance = 1.44, cumulative = 11.50
..Lacaille 9352 -> Gliese Gl 866  A, distance = 1.25, cumulative = 12.75
..Gliese Gl 866  A -> Unnamed star 113751, distance = 1.31, cumulative = 14.05
..Unnamed star 113751 -> Gliese Gl 876, distance = 0.28, cumulative = 14.34
..Gliese Gl 876 -> Gliese GJ 1002, distance = 1.57, cumulative = 15.91
..Gliese GJ 1002 -> Gliese GJ 1005 A, distance = 0.92, cumulative = 16.83
..Gliese GJ 1005 A -> Gliese Gl  54.1, distance = 1.83, cumulative = 18.66
..Gliese Gl  54.1 -> 52Tau Cet, distance = 0.50, cumulative = 19.15
..52Tau Cet -> Gliese Gl  65  A, distance = 1.03, cumulative = 20.18
..Gliese Gl  65  A -> Gliese Gl  65  B, distance = 0.00, cumulative = 20.18
..Gliese Gl  65  B -> 18Eps Eri, distance = 1.57, cumulative = 21.75
..18Eps Eri -> Unnamed star 15650, distance = 1.22, cumulative = 22.97
..Unnamed star 15650 -> 40Omi2Eri, distance = 1.33, cumulative = 24.30
..40Omi2Eri -> Gliese Gl 166  B, distance = 0.01, cumulative = 24.31
..Gliese Gl 166  B -> Gliese Gl 166  C, distance = 0.00, cumulative = 24.31
..Gliese Gl 166  C -> Gliese NN 3323, distance = 1.56, cumulative = 25.87
..Gliese NN 3323 -> Gliese Gl 205, distance = 0.94, cumulative = 26.81
..Gliese Gl 205 -> Gliese NN 3379, distance = 0.98, cumulative = 27.79
..Gliese NN 3379 -> Gliese Gl 213, distance = 1.12, cumulative = 28.91
..Gliese Gl 213 -> Gliese Gl 223.2, distance = 1.92, cumulative = 30.83
..Gliese Gl 223.2 -> Gliese GJ 1087, distance = 1.94, cumulative = 32.78
..Gliese GJ 1087 -> Gliese Gl 203, distance = 1.39, cumulative = 34.16
..Gliese Gl 203 -> 1Pi 3Ori, distance = 1.58, cumulative = 35.74
..1Pi 3Ori -> Gliese Gl 183, distance = 2.06, cumulative = 37.80
..Gliese Gl 183 -> Gliese NN 3306, distance = 1.25, cumulative = 39.05
..Gliese NN 3306 -> Gliese NN 3325, distance = 1.75, cumulative = 40.80
..Gliese NN 3325 -> Gliese Gl 190, distance = 0.24, cumulative = 41.05
..Gliese Gl 190 -> Gliese Gl 185  B, distance = 0.96, cumulative = 42.01
..Gliese Gl 185  B -> Gliese Gl 185  A, distance = 0.00, cumulative = 42.01
..Gliese Gl 185  A -> Gliese Gl 216  B, distance = 1.56, cumulative = 43.57
..Gliese Gl 216  B -> 13Gam Lep, distance = 0.01, cumulative = 43.57
..13Gam Lep -> Unnamed star 20916, distance = 2.79, cumulative = 46.36
